title_keywords,abstract_keywords
智能医疗诊断系统，深度学习算法优化，多模态数据融合,医疗诊断，深度学习，多模态数据融合，医学影像，基因组学，临床文本数据，智能辅助诊断系统
城市更新，BIM技术，施工管理,城市更新，BIM技术，物联网技术，全生命周期管理，施工进度模拟，资源优化配置，多方协同管理，智慧城市，建筑行业数字化转型
网络治理，城市更新，优化策略,多元主体协同治理，网络治理理论，多主体协同框架，行政主导型，市场驱动型，城市更新治理体系
城市更新，建设用地再开发，土地财产权,土地再开发，产权界定模糊，利益分配机制，产权细分，增值收益分配，多方主体协同，权属清晰，利益共享，产权制度，存量建设用地
老旧小区改造，协同与网络治理，评估与决策支持,老旧小区改造，公众/社区参与，协同与网络治理，社会影响与包容性，土地经济与产权，评估与决策支持，城市活力
城市更新，协同与网络治理，土地经济与产权,城市更新，协同与网络治理，土地经济与产权，社会影响与包容性，评估与决策支持
可持续更新，城市更新，决策支持,城市更新，可持续更新，GIS与空间分析，评估与决策支持，老旧小区改造，社会影响与包容性，数字技术与智慧城市，国土空间规划
循环农业系统，废弃物代谢，效能优化,农业废弃物处理，生物降解技术，生物转化，物质循环，低碳农业，可持续农业
可持续更新，城市更新，决策框架,城市更新，可持续更新，利益相关者，GIS与空间分析，评估与决策支持，低碳与双碳目标，社会影响与包容性，协同与网络治理
城市更新，公私合作，治理机制,城市更新，公私合作，利益相关者，土地经济与产权，投融资与运营模式，协同与网络治理，社会影响与包容性
城市化，移民群体，政治参与,城市化，移民群体，政治参与，户籍制度改革，社区治理模式变迁，流动人口治理
历史街区保护，可持续更新，关联网络系统,历史街区保护，可持续更新，利益相关者，公众/社区参与，协同与网络治理，社会影响与包容性，GIS与空间分析，评估与决策支持
城市更新，利益相关者，评估与决策支持,城市更新，利益相关者，评估与决策支持，社会影响与包容性，土地经济与产权，投融资与运营模式
城市活力，城市更新，多维数据分析,城市活力，城市更新，大数据，空间异质性，经济活力，社会活力，环境活力，步行可达性，商业密度，空间溢出效应，差异化更新策略
可持续更新，低碳与双碳目标，城市韧性,城市更新，可持续更新，低碳与双碳目标，城市韧性，土地经济与产权，生态修复与绿色基础设施，评估与决策支持
城市更新，数字技术与智慧城市，评估与决策支持,城市更新，数字技术与智慧城市，大数据与多源数据，数字孪生，评估与决策支持，老旧小区改造，工业遗产与棕地更新，历史街区保护，公共空间更新
低碳与双碳目标，大数据与多源数据，城市韧性,低碳与双碳目标，大数据与多源数据，遥感技术，生态修复与绿色基础设施，评估与决策支持，城市韧性
城市更新，多维驱动因素，政策创新,城市更新，经济-社会-环境多维驱动协同，案例对比建模，空间计量分析，商业更新，工业改造，住区再生，产权结构，地价梯度，公共服务缺口，政策干预，市场化，政府调控，以人为本，新型城镇化
历史街区保护，工业遗产与棕地更新，协同与网络治理,历史街区保护，工业遗产与棕地更新，协同与网络治理，社会影响与包容性，土地经济与产权
可持续更新，利益相关者，协同与网络治理,可持续更新，利益相关者，协同与网络治理，社会影响与包容性，评估与决策支持
生产-生活-生态空间，生态环境效应，多尺度耦合模型,快速城镇化，可持续发展，国土空间优化，生态系统服务评估，时空分异特征，生态环境质量，人地系统耦合，国土空间规划
城市更新，利益相关者，协同与网络治理,城市更新，利益相关者，协同与网络治理，公众/社区参与，社会影响与包容性，评估与决策支持
社交电商平台，用户增长策略，AARRR模型,用户生命周期管理，定量分析，案例研究，短视频内容推荐算法，社交裂变机制，用户留存率，用户收益增长，用户推荐转化率
城市更新，利益相关者，协同决策,城市更新，利益相关者，协同治理，决策支持系统，多准则决策，知识图谱，文本挖掘，社会网络分析
遥感技术，城市更新，可持续更新,遥感技术，城市更新，可持续更新，大数据与多源数据，GIS与空间分析，评估与决策支持，城市活力
城市更新，复杂系统决策方法，协同分析,城市更新，利益相关者，决策支持系统，旧城改造，多元共治，动态评估体系，智能决策支持系统
低碳与双碳目标，智能优化，可再生能源,低碳与双碳目标，可再生能源，智能优化，物联网实时监测技术，多目标优化模型，建筑运营能耗成本，碳排放量减少
遥感技术，地理人工智能，城市更新,遥感技术，地理人工智能，城市更新，大数据与多源数据，GIS与空间分析，评估与决策支持
历史街区保护，协同与网络治理，城市更新,历史街区保护，协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，投融资与运营模式
老旧小区改造，城市更新，可持续更新,老旧小区改造，城市更新，可持续更新，社区活力提升，居住条件改善，资源利用效率，双碳目标，城市治理政策
城市更新，可持续更新，城市韧性,多维协同评估，GIS空间分析，社会调查，多目标决策分析，经济可行性，生态敏感性，社会公平性，决策支持模型，城市更新理论体系，城市高质量发展
可持续更新，城市更新，评估与决策支持,可持续更新，城市更新，城市韧性，城市活力，社会影响与包容性，低碳与双碳目标，评估与决策支持，GIS与空间分析
城市更新，地下空间利用，协同开发,土地资源约束，地下空间利用，GIS与空间分析，多目标决策模型，全生命周期成本分析法，协同规划机制，混合功能适配性评估，经济-社会-环境综合效益测算
城中村改造，协同与网络治理，微更新/渐进式更新,城中村改造，社会影响与包容性，微更新/渐进式更新，GIS与空间分析，公众/社区参与，土地经济与产权，社会网络调查，参与式规划设计
利益相关者，城市更新，协同治理,城市更新，利益相关者，社会风险，博弈论建模，协同治理，风险传导机制，社会网络分析，多案例比较，风险预警指标体系
城市更新，生态修复与绿色基础设施，数字技术与智慧城市,城市更新，生态修复与绿色基础设施，数字技术与智慧城市，大数据与多源数据，评估与决策支持
城市更新，协同与网络治理，利益相关者,城市更新，协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，土地经济与产权，评估与决策支持
新型城市化质量评价，空间格局优化，区域协调发展,城市化进程，质量提升，经济-社会-生态，多维协同，空间自相关分析，冷热点探测，产业结构，公共服务，环境承载，协调度，空间集聚特征，演化趋势，梯度分布，太原都市圈，资源型城市转型，差异化区域政策，国土空间格局
社区可持续性评估，城市更新，多维指标体系,可持续性评估，城市更新，社区韧性，GIS与空间分析，评估与决策支持，层次分析法，熵权法，联合国可持续发展目标
社会转型，心理变迁，纵向研究,现代化进程，横向分析，纵向追踪，代际队列比较，宏观社会经济指标，结构方程模型，价值观，幸福感，社会态度，代际传递效应，GDP增速，城镇化率，个人主义倾向，民生保障水平，心理健康，社会政策
城市更新，社会创新，组织美学,城市更新，社会资本断裂，文化认同缺失，社区参与，文化认同，空间资源配置，行动者网络理论，社会创新，组织美学
区域创新网络，协同机制，长三角城市群,区域创新网络，协同效率，资源配置，多中心-多层次，社会网络分析，空间计量经济学，创新要素流动，节点城市，制度壁垒，网络韧性，知识溢出，协同创新
城市更新，多源数据，数字分析框架,城市更新，市政发展，多源数据，机器学习，基础设施，公共服务，环境质量，智慧城市，政府决策
老旧小区改造，微更新/渐进式更新，评估与决策支持,老旧小区改造，可持续更新，微更新/渐进式更新，城市活力，公众/社区参与，评估与决策支持，社会影响与包容性
城市更新，社会可持续性，规划政策,社会可持续性，社会公平，社区参与，文化保护，社会包容性，协同治理，多元利益主体诉求，联合国可持续发展目标
遥感技术，文献计量分析，发展趋势,地球观测技术，遥感卫星，文献计量学，知识图谱分析，高分辨率对地观测系统，国际合作，空间基础设施规划
城市更新，数字技术与智慧城市，评估与决策支持,数字技术与智慧城市，大数据与多源数据，GIS与空间分析，公众/社区参与，评估与决策支持，可持续更新
工业遗产与棕地更新，协同与网络治理，GIS与空间分析,工业用地转型，空间治理，利益相关者，GIS与空间分析，协同与网络治理，空间正义，城市更新
工业遗产与棕地更新，评估与决策支持，城市更新,工业遗产与棕地更新，后占用评估，空间句法，城市更新，可持续更新，公众/社区参与，社会影响与包容性
城市更新，协同治理，空间正义,城市更新，协同治理，空间正义，社会网络分析，空间计量模型，公私部门协同，更新效率，决策支持
城市更新，协同发展，空间结构,都市圈，产业布局，人口分布，空间计量经济学，国土空间规划
城市更新，利益相关者，协同与网络治理,城市更新，利益相关者，协同与网络治理，公众/社区参与，社会影响与包容性
社交电商，用户增长，策略优化,社交电商，用户增长，策略优化，用户生命周期，转化率，留存率，单用户价值
城市更新，利益相关者，协同与网络治理,老旧小区改造，利益相关者，协同与网络治理，公众/社区参与，评估与决策支持，大数据与多源数据，数字技术与智慧城市
遥感技术，城市更新，可持续发展评估,夜间灯光遥感数据，多源卫星数据融合，时空分析，城市人口分布，经济活动，能源消耗，国土空间规划，智慧城市
城市更新，决策优化，规划能力,城市更新，规划能力，决策优化，决策实验室分析法，多维度评价指标体系
低碳与双碳目标，可再生能源，多目标优化,建筑行业碳排放，可再生能源，多目标优化，光伏，地源热泵，能源成本节约，环保效益，绿色建筑，低碳转型，可持续城市发展
遥感技术，GIS与空间分析，数字技术与智慧城市,遥感技术，GIS与空间分析，数字技术与智慧城市，大数据与多源数据，评估与决策支持，智慧城市
城市更新，协同与网络治理，历史街区保护,城市更新，协同与网络治理，利益相关者，公众/社区参与，可持续更新，历史街区保护，文化资本转化，弹性规划
老旧小区改造，可持续更新，政策优化,老旧小区改造，可持续更新，社会公平，环境可持续性，经济-社会-环境三维协同，节能改造，公共空间更新，社区治理创新，居民满意度，建筑能耗，双碳目标
可持续更新，城市更新，评价方法,城市更新，可持续更新，老旧小区改造，公众/社区参与，生态修复与绿色基础设施，低碳与双碳目标，评估与决策支持
可持续更新，城市更新，评估与决策支持,城市更新，可持续更新，评估与决策支持，利益相关者，协同与网络治理，低碳与双碳目标，社会影响与包容性，投融资与运营模式
城市更新，地下空间利用，多源数据,城市更新，地下空间利用，GIS与空间分析，大数据与多源数据，评估与决策支持，数字技术与智慧城市
城中村改造，渐进式更新，社会影响与包容性,城中村改造，渐进式更新，社会影响与包容性，空间形态学分析，社会调查，社区纽带
城市更新，利益相关者，协同治理,城市更新，利益相关者，社会风险，公众参与，协同治理，群体性事件
城市更新，生态修复与绿色基础设施，评估与决策支持,城市更新，生态修复与绿色基础设施，评估与决策支持，大数据与多源数据，数字技术与智慧城市
城市更新，评估与决策支持，协同与网络治理,城市更新，评估与决策支持，利益相关者，协同与网络治理，社会影响与包容性，土地经济与产权
新型城市化，质量评价，空间优化,城市化质量评价，空间异质性，综合评价框架，产业结构，公共服务，环境承载力，空间分异规律，集聚特征，生态-经济协调度
城市更新，可持续更新，评估与决策支持,城市更新，可持续更新，社区韧性，公众/社区参与，评估与决策支持，社会影响与包容性
社会转型，民众心理，跨学科实证研究,社会转型，心理变迁，制度变迁，文化适应，心理响应，经济改革，教育普及，城市化进程，价值观，幸福感，焦虑水平
城市更新，社会创新，组织美学,城市更新，可持续更新，公众/社区参与，社会影响与包容性，协同与网络治理，文化认同，社区活化，社会组织美学
区域创新网络，协同机制，长三角城市群,区域创新体系，社会网络分析，空间计量经济学，知识流动效率，空间溢出效应，制度协同，技术溢出，自组织演化
城市更新，大数据，评估与决策支持,城市更新，大数据，评估与决策支持，数字技术与智慧城市，市政基础设施，公共服务，环境质量，卫星遥感数据，政务大数据，机器学习，动态评估，智慧城市治理，数字孪生
老旧小区改造，城市活力，可持续更新,老旧小区改造，可持续更新，公众/社区参与，城市活力，社会影响与包容性，评估与决策支持，土地经济与产权
城市更新，社会可持续性，规划政策优化,城市更新，社会可持续性，规划政策优化，社会包容性，社区参与机制，历史文化保护，城市治理
遥感技术，国家战略需求，体系化发展,遥感技术，国家战略需求，效能评估，数据共享，星座组网，自然资源管理，应急减灾
城市更新，数字技术与智慧城市，可持续更新,数字城市再生，多源数据，系统动力学建模，数字孪生，大数据分析，公众/社区参与，智慧城市，可持续发展
工业遗产与棕地更新，GIS与空间分析，土地经济与产权,工业用地转型，GIS空间分析，用地效能评估模型，政策仿真，空间分异规律，政策调控，市场主体行为决策，工业用地转型潜力评估指标体系，空间重构效率，存量土地精准治理
工业遗产与棕地更新，后占用评估，城市更新,工业遗产与棕地更新，可持续更新，后占用评估，公众/社区参与，生态修复与绿色基础设施，城市更新
城市更新，利益相关者，投融资与运营模式,城市更新，利益相关者，协同与网络治理，社会影响与包容性，土地经济与产权，投融资与运营模式，评估与决策支持
城市更新，GIS与空间分析，协同与网络治理,城市更新，GIS与空间分析，协同与网络治理，社会网络模型，面板数据回归，协同度评价体系，空间治理
老旧小区改造，城市更新，利益相关者,城市更新，老旧小区改造，利益相关者，土地经济与产权，公众/社区参与，评估与决策支持，投融资与运营模式
城中村改造，微更新/渐进式更新，协同与网络治理,城中村改造，可持续更新，公众/社区参与，社会影响与包容性，空间句法，社会资本，微更新/渐进式更新，协同与网络治理
可持续更新，城市更新，文献计量学,可持续更新，城市更新，文献计量学，视觉分析，低碳技术，社区参与，城市韧性，跨学科研究，研究趋势预测
历史街区保护，业态优化，文化基因,历史街区保护，可持续更新，空间句法，业态活力评估，有机更新，适应性再利用，文化遗产业态健康度评估体系
利益相关者，协同与网络治理，城市更新,利益相关者，协同与网络治理，社会影响与包容性，公众/社区参与，城市更新，土地经济与产权
城市更新，治理机制，机构转型,高密度城市，城市更新，治理机制，利益相关者，公众/社区参与，投融资与运营模式，制度分析，案例比较，政策评估，权责配置，社区参与，绩效评估
城市更新，多源数据，智能决策,城市更新，多源数据，智能决策，动态评估，机器学习算法，评价指标体系，智慧城市
城市群，制造业用地扩张，城镇体系协同机制,城市化进程，制造业用地扩张，城镇体系发展，空间计量经济学模型，景观格局指数，城市群，产业-城镇协调发展，评价指标体系，区域差异
城市更新，评估体系，政策优化,城市更新政策评估，GIS空间分析，利益相关者，社会经济效益，空间重构效应，政策工具，公共设施配建，容积率调控，动态评估体系，政策文本挖掘
城市韧性，灾害风险，智能防控,灾害风险评估，智能防控，大数据分析，机器学习，系统动力学，韧性城市评价指标体系，城市安全防控体系
老旧小区改造，微更新/渐进式更新，评估与决策支持,老旧小区改造，微更新/渐进式更新，GIS与空间分析，公众/社区参与，评估与决策支持，社会影响与包容性
协同与网络治理，老旧小区改造，社会影响与包容性,协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，评估与决策支持，老旧小区改造
城市更新，文献计量学，知识图谱,城市更新，可持续更新，社区治理，历史街区保护，知识图谱，国际合作网络，学科交叉演化，研究热点迁移
公共交通导向更新，城市更新，高密度城市,公共交通导向更新，城市更新，高密度城市，交通可达性，土地利用效率，可持续更新，决策支持
城市更新，功能重构，多维度评估,城市更新，功能重构，历史街区保护，工业遗产与棕地更新，城中村改造，GIS与空间分析，社会影响与包容性，土地经济与产权，评估与决策支持
历史街区保护，多源数据，空间分析,历史街区保护，GIS与空间分析，遥感技术，空间分布特征，保护策略，文化遗产廊道规划
城市更新，协同治理，行动者网络理论,城市更新，利益相关者，公众/社区参与，协同与网络治理，社会影响与包容性，土地经济与产权，投融资与运营模式
城市韧性，洪水风险管理，全生命周期成本优化,城市韧性，全生命周期成本分析，动态风险评估，蒙特卡洛模拟，多目标优化，防洪设施维护，气候适应型城市，可持续发展目标
可持续更新，城市更新，多维评估,城市更新，可持续更新，空间句法分析，多维绩效评估，文化遗产保护，碳减排效率，社区参与，韧性转型
大数据与多源数据，评估与决策支持，数字技术与智慧城市,智能监控，自动驾驶，多目标实时检测与跟踪，注意力机制，时空特征关联，YOLOv5检测框架，DeepSORT跟踪算法，动态背景干扰，目标特征提取，跨摄像头目标重识别，端到端的实时处理系统，MOT17数据集，MOTA指标，处理速度
历史街区保护，城市更新，可持续更新,历史街区保护，城市更新，可持续更新，景观身份导向型更新，参与式行动研究，空间句法分析，文化景观评估，社区协商，空间干预，滨水历史街区，传统建筑肌理，公共空间网络，社区集体记忆，文化景观评估工具，历史街区更新，景观身份完整度，社区满意度，保护性更新
城市更新，城中村改造，可持续更新,城市更新，可持续更新，利益相关者，公众/社区参与，协同与网络治理，社会影响与包容性，土地经济与产权
城市更新，文化表征，空间叙事,城市符号学，符号聚合体，文化编码机制，文化记忆，文化策略
城市更新，公司治理，制度环境,城市更新，市场化转型，制度经济学，产权配置模式，政企合作机制，融资渠道创新，城市高质量发展
城市更新，社会空间机制，城市改造与再利用策略,非法占据空间现象，城市治理挑战，非正规居住空间，社会空间实践，物质改造，政策响应，建筑改造，基础设施共享，社区网络重构，社会韧性，空间利用效率，社区治理模式，包容性城市更新政策
有机更新，智慧城市，城市治理,有机更新，智慧城市，城市治理，协同优化，可持续发展，一带一路
城市更新，公众/社区参与，协同与网络治理,公众/社区参与，利益相关者，协同与网络治理，社会影响与包容性，评估与决策支持
城市更新，历史街区保护，居民生活质量,历史城区，文化空间再生产，居民生活满意度，社区归属感，文化设施，交通可达性，文化遗产保护，民生改善
城中村改造，城市更新，人口空间分布,城中村改造，城市更新，空间句法，公众/社区参与，社会影响与包容性，协同与网络治理，存量住区
城市更新，历史街区保护，评估与决策支持,城市更新，历史街区保护，评估与决策支持，城市再生，有机更新，GIS与空间分析，社会网络分析，社会影响与包容性，协同与网络治理
评估与决策支持，大数据与多源数据，投融资与运营模式,评估与决策支持，大数据与多源数据，投融资与运营模式，技术效率，规模效率，资源配置效率
城市更新，历史街区保护，可持续更新,文化遗产保护，城市再生，文化资本评估体系，空间干预策略库，文化遗产活化利用，社区参与路径，文化导向型再生，可持续城市更新
老旧小区改造，公共空间更新，适应性再利用,老旧社区公共空间功能衰退，居民需求升级，存量更新，参与式设计，社会网络分析，动态评估体系，公共空间功能弹性转换，社区记忆延续，居民参与机制，空间活力，社区治理现代化，城市更新条例
城市更新，旧城区重建，多案例比较,城市更新，社会空间失衡，动态适应性更新，社区参与机制，历史遗产活化，基础设施升级，混合所有制模式，PPP模式，土地价值增长，社会满意度
公共空间更新，城市更新，评估与决策支持,公共空间更新，城市更新，评估与决策支持，优秀实践案例，全过程结构模型，决策支持工具
城市更新，土地经济与产权，可持续更新,城市更新，可持续更新，利益相关者，协同与网络治理，社会影响与包容性，生态修复与绿色基础设施，评估与决策支持
老旧小区改造，可持续更新，存量更新,老旧小区改造，可持续更新，利益相关者，公众/社区参与，协同与网络治理，评估与决策支持，社会影响与包容性，有机更新
城市更新，制度创新，商业可持续性,城市更新，制度创新，商业可持续性，产权激励，规划弹性，业态混合，收益共享
自然保护区，生态环境质量，遥感技术,生态环境监测，遥感技术，生态质量评估，多源遥感数据，机器学习算法，生态指数，植被覆盖度，地表温度，湿度指数，综合评价模型，动态评估，预警指标体系，生态文明建设，智能化管理
城市更新，协同与网络治理，管理模式创新,城市更新，协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，投融资与运营模式
大数据与多源数据，GIS与空间分析，评估与决策支持,大数据与多源数据，遥感技术，GIS与空间分析，评估与决策支持，城市活力
城市更新，数字化协同平台，全周期管理,城市更新，数字化协同平台，BIM-GIS集成技术，多源数据，智慧城市
城中村改造，社会效益评估，优化策略,城中村改造，社会融合，协同治理，社会资本，公共服务供需匹配度，社会效益评估，包容性城市更新
公共空间更新，大数据，空间分析,公共空间更新，多源数据，利益相关者，空间句法，GIS与空间分析，居民满意度，智慧城市，评估与决策支持
城中村改造，制度韧性，非正规性治理,非正规空间治理，制度韧性，社会网络，产权模糊性，渐进式确权，包容性城市转型
微更新/渐进式更新，公共空间更新，公众/社区参与,微更新/渐进式更新，公共空间更新，公众/社区参与，文化叙事构建，空间场景营造，社区协同策展，文化基因提取与转译技术，弹性空间模块化设计方法，数字技术与智慧城市，文化驱动型城市更新
老旧小区改造，公众/社区参与，协同与网络治理,老旧小区改造，公众/社区参与，协同与网络治理，微更新/渐进式更新，公共空间更新，社会影响与包容性，评估与决策支持
城市更新，历史街区保护，协同优化策略,历史文化遗产保护，城市更新，价值评估，公众参与，GIS空间分析，多准则决策分析，历史建筑价值量化评估模型，更新片区功能混合度优化算法，利益相关者协商机制，文化价值保留，空间利用率，居民满意度，城市有机更新
城中村改造，多维评估模型，更新策略优化,城中村改造，社会-经济-空间多维协同评估框架，案例对比分析，空间计量模型，决策支持系统，居民满意度，土地增值效益，空间品质提升，更新效益综合评价指标体系，差异化更新策略，社会冲突风险，空间利用效率，精准化更新政策，城乡更新理论体系，新型城镇化
城市更新，历史街区保护，微更新/渐进式更新,城市更新，历史街区保护，微更新/渐进式更新，空间句法，GIS与空间分析，老旧小区改造，可持续更新，公众/社区参与，社会影响与包容性
智慧养老，社区参与，数字技术与智慧城市,老龄化社会，社区养老服务体系，物联网感知，多源数据融合，智能决策算法，服务需求预测，资源动态调度，数字化转型
绿色出行，地铁接驳，Z世代,城市交通碳减排目标，绿色出行，地铁接驳，Z世代，认知-行为，混合研究方法，环保认知强度，社交媒介影响，时空弹性需求，智慧化接驳服务
城市更新，绿地空间更新，智慧城市,城市更新，绿地空间更新，智慧城市，生态修复与绿色基础设施，可持续更新，评估与决策支持
经济韧性，数字普惠金融，区域经济,经济韧性，数字普惠金融，产业结构升级，就业吸纳能力，风险分散效应，空间计量模型，面板数据分析，资源型城市，区域金融政策
城市更新，轨道交通，智能更新管理,全生命周期成本，多源数据融合，机器学习，资产健康度预测，状态监测，剩余寿命，更新优先级评估，智慧城轨，城市基础设施数字化
智慧养老，数字技术与智慧城市，协同与网络治理,智慧养老，数字技术与智慧城市，协同与网络治理，大数据与多源数据，公众/社区参与，评估与决策支持
城市更新，评估与决策支持，协同与网络治理,城市更新，评估与决策支持，定量与定性相结合，经济，社会，环境，权重分配机制，协同与网络治理
城市微气候环境，遥感技术，GIS与空间分析,城市微气候环境，遥感技术，GIS与空间分析，生态修复与绿色基础设施，城市扩张，植被覆盖，不透水面比例
新质生产力，文化产业，旅游产业,产业融合，数字技术，创新驱动，生产要素，产业生态
数字经济，乡村振兴，农村电子商务,数字经济，乡村振兴，农村电子商务，产业链整合，数字鸿沟，政府引导-市场驱动-农户参与，农产品上行渠道优化，县域物流网络重构，数字技能培训，农村产业转型
城市更新，城市病，政策评估,城市病，城市更新，政策评估，倾向得分匹配-双重差分法，PM2.5浓度，通勤时间，治理效果，空间异质性
数字技术与智慧城市，评估与决策支持，投融资与运营模式,大数据与多源数据，数字技术与智慧城市，评估与决策支持，投融资与运营模式，公众/社区参与
生态修复与绿色基础设施，空间分析，植被多样性,生态修复与绿色基础设施，GIS与空间分析，植被多样性，土壤养分，空间异质性，演替进程
城市更新，治理机制，规划创新,历史街区保护，利益相关者，协同与网络治理，公众/社区参与，社会影响与包容性，有机更新
乡村振兴，农村养老，服务体系,老龄化，养老服务供需失衡，基础设施薄弱，服务模式单一，政策落地不畅，政府主导-市场补充-社区协同，互助养老院，医养结合，智慧养老，城乡养老资源均衡配置
港口城市协同发展，空间规划，产业布局,区域协同发展，产业同质化竞争，资源整合不足，协同机制缺失，空间规划优化，产业链互补，GIS空间分析，产业关联度评估，港口城市功能定位差异化，基础设施互联互通，产业集群协同创新
城市更新，治理机制，地方政府结构,城市更新，治理瓶颈，地方政府职能碎片化，跨部门协同，政策网络分析，城市更新绩效，行政协调成本，政府失灵
文化旅游产业，在线营销策略，博物馆,文化旅游产业，在线营销策略，博物馆，用户画像，大数据挖掘，社交媒体分析，A/B测试，游客行为特征，内容传播效果评估，个性化营销策略
城市更新，技术政治，动态模拟,技术政治，城市空间形态演变，政策干预，城市更新，动态模拟，量化评估模型，智慧城市
城中村改造，城市更新，可持续更新,城中村改造，城市更新，利益相关者，公众/社区参与，协同与网络治理，社会影响与包容性，可持续更新
城市更新，多源数据，空间治理,城市更新，多源数据，空间治理，利益相关者，可持续更新，评估与决策支持
生态修复与绿色基础设施，城市更新，可持续更新,水资源短缺，生态功能失衡，城市森林植被，节水功能评估，可持续发展，遥感反演，水量平衡方程，条件价值评估法，商业区，居住区，工业区，文教区，冠层截留率，蒸腾耗水量，节水经济价值，城市生态补偿机制，绿地空间布局，水资源智慧管理
城市更新，可持续发展策略，全球城市化,城市繁荣度，可持续发展目标，多维指标体系，基础设施投资，创新能力，包容性繁荣
乡村振兴，农村电子商务，多维评价体系,乡村振兴，农村电子商务，多维协同发展，综合评价体系，物流网络覆盖率，数字技能普及率，农产品上行效率
城市更新，土地经济与产权，协同与网络治理,土地经济与产权，利益相关者，GIS与空间分析，评估与决策支持，城市更新，可持续更新
跨境电商，特色农产品，商业模式创新,跨境电商，特色农产品，商业模式创新，供应链优化，品牌建设，乡村振兴
城市更新，城市振兴，全球与本地案例研究,城市更新，可持续更新，社会包容性，案例比较分析，城市生活质量，发展中国家城市
乡村振兴，农村电商，数字化赋能,乡村振兴，农村电商，数字化赋能，产业链整合，农产品上行通道，县域电商服务中心，直播电商，数字经济
城市更新，可持续更新，决策支持,城市更新，可持续更新，决策支持，系统动力学建模，智能算法，经济收益，社会公平，生态效益，量化评估体系，智慧城市
农村电商，马克思主义政治经济学，高质量发展,乡村振兴，电子商务，生产关系变革，资本逻辑，产业同质化，利益分配失衡，生产力-生产关系，集体产权制度改革，新型合作组织，数字平台治理，生产要素配置，产业价值链，数字红利，普惠性分配，农村数字经济治理体系
可持续更新，城市更新，评估与决策支持,可持续更新，城市更新，评估与决策支持，社会影响与包容性，土地经济与产权，投融资与运营模式，低碳与双碳目标，GIS与空间分析
智慧城市，效率测度，优化对策,智慧城市，效率评估，多源数据融合，DEA模型，空间计量，基础设施投入，公共服务水平，技术创新能力，区域差异，新型城镇化
城市更新，财政可持续性，老龄化,城市更新，财政可持续性，老龄化，政策协同，社会资本，适老化改造，可持续城市发展
红色旅游，乡镇经济，协同发展,乡村振兴战略，文旅融合，产业联动，红色文化资源价值转化，旅游产品创新设计，特色产业培育，复合型发展模式
城市更新，智慧城市，可持续更新,智慧城市，城市更新，可持续更新，公众/社区参与，评估与决策支持，数字技术与智慧城市
